10/19/2015 12:43:01 - 1011	M	909,-1,new_1-3
10/19/2015 12:43:01 - 1011	M	1205,-1,new_1-3
10/19/2015 12:43:01 - 1011	M	601,-1,new_1-3
10/19/2015 12:43:01 - 1011	M	1002,-1,new_1-3
10/19/2015 12:44:02 - 1002	M	909,-1,new_1-3
10/19/2015 12:44:02 - 1002	M	1202,-1,new_1-3
10/19/2015 12:44:02 - 1002	M	938,-1,new_1-3
10/19/2015 12:44:02 - 1002	M	512,-1,new_1-3
10/19/2015 12:44:02 - 1002	M	713,-1,new_1-3
10/19/2015 12:44:02 - 1002	M	512,-1,new_1-3
10/19/2015 12:44:04 - 1113	L	1202,1,0,0,0,0,0,new_1-3
10/19/2015 12:44:04 - 1113	L	713,1,0,0,0,0,0,new_1-3
10/19/2015 12:44:04 - 1113	L	909,1,0,0,0,0,0,new_1-3
10/19/2015 12:44:04 - 1113	L	512,1,0,0,0,0,0,new_1-3
10/19/2015 12:44:05 - 1113	L	938,1,0,0,0,0,0,new_1-3
10/19/2015 12:44:05 - 1113	L	512,1,0,0,0,0,0,new_1-3
10/19/2015 12:44:07 - 1113	M	909,-1,new_1-3
10/19/2015 12:44:07 - 1113	M	1602,-1,new_1-3
10/19/2015 12:44:07 - 1113	M	938,-1,new_1-3
10/19/2015 12:44:07 - 1113	M	512,-1,new_1-3
10/19/2015 12:44:07 - 1113	M	713,-1,new_1-3
10/19/2015 12:44:07 - 1113	M	512,-1,new_1-3
10/19/2015 12:44:07 - 1113	M	620,-1,new_1-3
10/19/2015 12:44:08 - 1113	L	1602,1,0,0,0,0,0,new_1-3
10/19/2015 12:44:08 - 1113	L	938,1,0,0,0,0,0,new_1-3
10/19/2015 12:44:09 - 1113	L	909,1,0,0,0,0,0,new_1-3
10/19/2015 12:44:09 - 1113	L	512,1,0,0,0,0,0,new_1-3
10/19/2015 12:44:09 - 1113	L	713,1,0,0,0,0,0,new_1-3
10/19/2015 12:44:09 - 1113	L	512,1,0,0,0,0,0,new_1-3
10/19/2015 12:44:09 - 1113	L	620,1,0,0,0,0,0,new_1-3
10/19/2015 12:44:16 - 1184	M	914,-1,new_1-3
10/19/2015 12:44:16 - 1184	M	949,-1,new_1-3
10/19/2015 12:44:16 - 1184	M	1502,-1,new_1-3
10/19/2015 12:44:16 - 1184	M	511,-1,new_1-3
10/19/2015 12:44:16 - 1184	M	705,-1,new_1-3
10/19/2015 12:44:16 - 1184	M	1501,-1,new_1-3
10/19/2015 12:44:18 - 1113	M	909,-1,new_1-3
10/19/2015 12:44:18 - 1113	M	1602,-1,new_1-3
10/19/2015 12:44:18 - 1113	M	938,-1,new_1-3
10/19/2015 12:44:18 - 1113	M	512,-1,new_1-3
10/19/2015 12:44:18 - 1113	M	713,-1,new_1-3
10/19/2015 12:44:18 - 1113	M	512,-1,new_1-3
10/19/2015 12:44:18 - 1113	M	620,-1,new_1-3
10/19/2015 12:44:18 - 1113	L	512,-1,0,0,0,0,0,new_1-3
10/19/2015 12:44:18 - 1113	L	938,-1,0,0,0,0,0,new_1-3
10/19/2015 12:44:18 - 1113	L	512,-1,0,0,0,0,0,new_1-3
10/19/2015 12:44:18 - 1113	L	1602,-1,0,0,0,0,0,new_1-3
10/19/2015 12:44:18 - 1113	L	938,-1,0,0,0,0,0,new_1-3
10/19/2015 12:44:18 - 1113	L	909,-1,0,0,0,0,0,new_1-3
10/19/2015 12:44:18 - 1113	L	512,-1,0,0,0,0,0,new_1-3
10/19/2015 12:44:18 - 1113	L	713,-1,0,0,0,0,0,new_1-3
10/19/2015 12:44:18 - 1113	L	512,-1,0,0,0,0,0,new_1-3
10/19/2015 12:44:18 - 1113	L	620,-1,0,0,0,0,0,new_1-3
10/19/2015 12:44:23 - 1011	M	998,-1,new_1-3
10/19/2015 12:44:23 - 1011	M	935,-1,new_1-3
10/19/2015 12:44:23 - 1011	M	909,-1,new_1-3
10/19/2015 12:44:23 - 1011	M	1205,-1,new_1-3
10/19/2015 12:44:23 - 1011	M	601,-1,new_1-3
10/19/2015 12:44:23 - 1011	M	742,-1,new_1-3
10/19/2015 12:44:23 - 1011	M	1002,-1,new_1-3
10/19/2015 12:44:29 - 1113	M	909,-1,new_1-3
10/19/2015 12:44:29 - 1113	M	1602,-1,new_1-3
10/19/2015 12:44:29 - 1113	M	938,-1,new_1-3
10/19/2015 12:44:29 - 1113	M	512,-1,new_1-3
10/19/2015 12:44:29 - 1113	M	713,-1,new_1-3
